Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.000     0.000     0.000     0.000       14   HTTP::Message::Headers#create_query_part 
  0.05      0.000     0.000     0.000     0.000       27   Time#plus_without_duration 
  0.05      0.000     0.000     0.000     0.000       25   Hash#[]= 
  0.05      0.000     0.000     0.000     0.000       28   <Class::Hash>#[] 
  0.05      0.206     0.000     0.000     0.206       14   UWDC::XML#initialize 
  0.05      0.000     0.000     0.000     0.000       14   HTTP::Message#status= 
  0.05      0.000     0.000     0.000     0.000       28   BasicObject#!= 
  0.05      0.000     0.000     0.000     0.000       28   Nokogiri::XML::Node#attribute 
  0.05      0.000     0.000     0.000     0.000       52   Module#=== 
  0.05      0.001     0.000     0.000     0.001       27   Time#to_time 
  0.05      0.000     0.000     0.000     0.000       54   String#hash 
  0.05      0.000     0.000     0.000     0.000       14   MatchData#[] 
  0.05      0.002     0.000     0.000     0.002       14   IO#<< 
  0.05      0.000     0.000     0.000     0.000       14   HTTP::Message#http_version= 
  0.05      0.000     0.000     0.000     0.000       28   <Module::URI>#scheme_list 
  0.04      0.001     0.000     0.000     0.001       14   HTTPClient::Connection#push 
  0.04      0.000     0.000     0.000     0.000       28   HTTPClient::SSPINegotiateAuth#set? 
  0.04      0.002     0.000     0.000     0.002       14   HTTP::Message::Headers#content_type 
  0.04      0.000     0.000     0.000     0.000       28   <Class::URI::Generic>#default_port 
  0.04      0.000     0.000     0.000     0.000       28   HTTPClient::DigestAuth#set? 
  0.04      0.000     0.000     0.000     0.000       28   <Class::Nokogiri::VersionInfo>#instance 
  0.04      0.004     0.000     0.000     0.004       14   <Module::URI>#parse 
  0.04      0.000     0.000     0.000     0.000       14   <Class::HTTP::Message>#multiparam_query? 
  0.04      0.002     0.000     0.000     0.002       14   URI::HTTP#initialize 
  0.04      0.000     0.000     0.000     0.000       14   Kernel#dup 
  0.04      0.001     0.000     0.001     0.000        1   TCPSocket#initialize 
  0.04      0.002     0.000     0.000     0.002       14   HTTP::Message::Headers#set_header 
  0.04      0.000     0.000     0.000     0.000       28   HTTPClient::BasicAuth#set? 
  0.04      0.030     0.000     0.000     0.030        8   UWDC::FileSec#files 
  0.04      0.000     0.000     0.000     0.000       27   Time#compare_without_coercion 
